 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 5.    Time:  23: 1:18
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  170   1130.44     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  171   1137.12     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  172   1143.81     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  173   1150.50     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  174   1157.19     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  175   1163.88     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  176   1170.57     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  177   1177.26     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  178   1183.95     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  179   1190.64     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  180   1197.32     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  181   1204.01     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  182   1210.70     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  183   1217.39     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  184   1224.08     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  185   1230.77     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  186   1237.46     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  187   1244.15     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  188   1250.84     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  189   1257.53     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  190   1264.21     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  191   1270.90     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  192   1277.59     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  193   1284.28     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  194   1290.97     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  195   1297.66     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  196   1304.35     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  197   1311.04     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  198   1317.73     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  199   1324.42     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  200   1331.10     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  201   1337.79     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  202   1344.48     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  203   1351.17     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  204   1357.86     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  205   1364.55     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  206   1371.24     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  207   1377.93     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  208   1384.61     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  209   1391.30     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  210   1397.99     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  211   1404.68     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  212   1411.37     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  213   1418.06     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  214   1424.75     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  215   1431.44     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  216   1438.13     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  217   1444.82     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  218   1451.51     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  219   1458.19     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  220   1464.88     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  221   1471.57     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  222   1478.26     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  223   1484.95     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  224   1491.64     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  225   1498.33     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  226   1505.02     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  227   1511.71     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  228   1518.40     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  229   1525.08     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  230   1531.77     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  231   1538.46     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  232   1545.15     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  233   1551.84     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  234   1558.53     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  235   1565.22     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  236   1571.91     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  237   1578.59     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  238   1585.28     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  239   1591.97     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  240   1598.66     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  241   1605.35     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  242   1612.04     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  243   1618.73     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  244   1625.42     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  245   1632.11     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  246   1638.80     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  247   1645.48     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  248   1652.17     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  249   1658.86     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  250   1665.55     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  251   1672.24     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  252   1678.93     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  253   1685.62     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  254   1692.31     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  255   1699.00     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  256   1705.69     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  257   1712.38     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  258   1719.06     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  259   1725.75     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  260   1732.44     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  261   1739.13     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  262   1745.82     0.083     0.477       0.0   0.117E-01     0.156     0.000     1.000     1.000     1.000
  263   1750.00     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  264   1759.20     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  265   1765.89     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  266   1772.57     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  267   1779.26     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  268   1785.95     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  269   1792.64     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  270   1799.33     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  271   1806.02     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  272   1812.71     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  273   1819.40     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  274   1826.09     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  275   1832.78     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  276   1839.46     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  277   1846.15     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  278   1852.84     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  279   1859.53     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  280   1866.22     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  281   1872.91     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  282   1879.60     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  283   1886.29     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  284   1892.98     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  285   1899.67     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  286   1906.35     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  287   1913.04     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  288   1919.73     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  289   1926.42     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  290   1933.11     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  291   1939.80     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  292   1946.49     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
  293   1953.18     0.067     0.462       0.0   0.750E-01     1.000     0.000     1.000     1.000     1.000
