 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 5.    Time:  17: 3:23
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  122    878.11     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  123    885.37     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  124    892.63     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  125    899.89     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  126    907.14     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  127    914.40     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  128    921.66     0.057     0.399       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
  129    928.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  130    936.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  131    943.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  132    950.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  133    957.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  134    965.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  135    972.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  136    979.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  137    986.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  138    994.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  139   1001.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  140   1008.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  141   1016.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  142   1023.26     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  143   1030.51     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  144   1037.77     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  145   1045.03     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  146   1052.29     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  147   1059.54     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  148   1066.80     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  149   1074.06     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  150   1081.31     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  151   1088.57     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  152   1095.83     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  153   1103.09     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  154   1110.34     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  155   1117.60     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  156   1124.86     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  157   1132.11     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  158   1139.37     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  159   1146.63     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  160   1153.89     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  161   1161.14     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  162   1168.40     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  163   1175.66     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  164   1182.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  165   1190.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  166   1197.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  167   1204.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  168   1211.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  169   1219.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  170   1226.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  171   1233.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  172   1240.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  173   1248.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  174   1255.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  175   1262.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  176   1270.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  177   1277.26     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  178   1284.51     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  179   1291.77     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  180   1299.03     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  181   1306.29     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  182   1313.54     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  183   1320.80     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  184   1328.06     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  185   1335.31     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  186   1342.57     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  187   1349.83     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  188   1357.09     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  189   1364.34     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  190   1371.60     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  191   1378.86     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  192   1386.11     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  193   1393.37     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  194   1400.63     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  195   1407.89     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  196   1415.14     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  197   1422.40     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  198   1429.66     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  199   1436.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  200   1444.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  201   1451.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  202   1458.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  203   1465.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  204   1473.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  205   1480.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  206   1487.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  207   1494.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  208   1502.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  209   1509.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  210   1516.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  211   1524.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  212   1531.26     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  213   1538.51     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  214   1545.77     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  215   1553.03     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  216   1560.29     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  217   1567.54     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  218   1574.80     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  219   1582.06     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  220   1589.31     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  221   1596.57     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  222   1603.83     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  223   1611.09     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  224   1618.34     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  225   1625.60     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  226   1632.86     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  227   1640.11     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  228   1647.37     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  229   1654.63     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  230   1661.89     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  231   1669.14     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  232   1676.40     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  233   1683.66     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  234   1690.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  235   1698.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  236   1705.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  237   1712.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  238   1719.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  239   1727.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  240   1734.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  241   1741.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  242   1748.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  243   1756.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
